,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,122,2020-06-01 00:02:21.7500,2020-06-01 00:04:24.3250,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.71925170000001,-74.034234,42489,Subscriber,1987,1
1,1282,2020-06-01 00:12:27.1090,2020-06-01 00:33:50.0540,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42183,Subscriber,1988,1
2,186,2020-06-01 01:19:59.2090,2020-06-01 01:23:05.8930,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3681,Grand St,40.71517767732029,-74.03768330812454,42140,Subscriber,1987,1
3,131,2020-06-01 01:26:42.2050,2020-06-01 01:28:53.8040,3267,Morris Canal,40.7124188237569,-74.03852552175522,3681,Grand St,40.71517767732029,-74.03768330812454,42120,Subscriber,1987,1
4,266,2020-06-01 01:27:33.7090,2020-06-01 01:32:00.1890,3639,Harborside,40.71925170000001,-74.034234,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42437,Subscriber,1972,2
5,278,2020-06-01 01:27:38.7630,2020-06-01 01:32:17.4570,3639,Harborside,40.71925170000001,-74.034234,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42300,Customer,1969,0
6,123,2020-06-01 01:33:04.9720,2020-06-01 01:35:07.9850,3267,Morris Canal,40.7124188237569,-74.03852552175522,3681,Grand St,40.71517767732029,-74.03768330812454,42205,Subscriber,1987,1
7,1592,2020-06-01 01:34:12.5080,2020-06-01 02:00:45.2300,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3639,Harborside,40.71925170000001,-74.034234,42437,Subscriber,1972,2
8,1569,2020-06-01 01:34:54.0400,2020-06-01 02:01:03.2990,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3639,Harborside,40.71925170000001,-74.034234,42550,Customer,1969,0
9,166,2020-06-01 01:38:12.6620,2020-06-01 01:40:59.3830,3481,York St,40.71649,-74.04105,3185,City Hall,40.717732500000004,-74.04384499999999,15049,Subscriber,1987,1
10,227,2020-06-01 01:58:54.6210,2020-06-01 02:02:41.7240,3195,Sip Ave,40.73089709786179,-74.06391263008119,3206,Hilltop,40.7311689,-74.0575736,40507,Subscriber,1990,1
11,632,2020-06-01 04:14:40.4180,2020-06-01 04:25:13.0920,3206,Hilltop,40.7311689,-74.0575736,3198,Heights Elevator,40.748715945380226,-74.04044330120088,42364,Subscriber,1997,1
12,273,2020-06-01 04:32:33.9640,2020-06-01 04:37:07.9240,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73089709786179,-74.06391263008119,42460,Subscriber,1963,2
13,762,2020-06-01 04:42:19.8980,2020-06-01 04:55:02.6450,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42235,Subscriber,1996,1
14,1703,2020-06-01 04:43:24.8950,2020-06-01 05:11:48.8570,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42623,Customer,1999,2
15,1719,2020-06-01 04:43:27.3470,2020-06-01 05:12:06.5360,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42409,Customer,1969,0
16,1707,2020-06-01 04:43:27.5100,2020-06-01 05:11:54.9070,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,38759,Customer,1969,0
17,30519,2020-06-01 04:43:32.5610,2020-06-01 13:12:12.0630,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42592,Customer,1969,0
18,1726,2020-06-01 04:43:40.5500,2020-06-01 05:12:26.9360,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42576,Customer,2001,2
19,1664,2020-06-01 04:43:57.1990,2020-06-01 05:11:41.2380,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42456,Customer,2001,2
20,237,2020-06-01 05:30:48.4620,2020-06-01 05:34:45.7760,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3195,Sip Ave,40.73089709786179,-74.06391263008119,42484,Subscriber,1967,1
21,1312,2020-06-01 05:48:20.1390,2020-06-01 06:10:12.5200,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42576,Customer,1969,0
22,4511,2020-06-01 06:04:50.0540,2020-06-01 07:20:01.5190,3203,Hamilton Park,40.727595965999996,-74.044247311,3203,Hamilton Park,40.727595965999996,-74.044247311,40469,Subscriber,1966,1
23,1415,2020-06-01 06:13:43.8570,2020-06-01 06:37:19.0170,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3638,Washington St,40.7242941,-74.0354826,42401,Subscriber,1992,1
24,553,2020-06-01 06:15:53.2110,2020-06-01 06:25:06.5930,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3483,Montgomery St,40.71942,-74.05099,42350,Subscriber,1991,1
25,1071,2020-06-01 06:28:12.9310,2020-06-01 06:46:04.5010,3481,York St,40.71649,-74.04105,3212,Christ Hospital,40.734785818,-74.050443636,42463,Subscriber,1997,1
26,442,2020-06-01 06:32:41.1430,2020-06-01 06:40:03.7950,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3203,Hamilton Park,40.727595965999996,-74.044247311,42358,Subscriber,1986,1
27,2328,2020-06-01 06:34:41.7160,2020-06-01 07:13:30.4420,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42466,Subscriber,1959,1
28,1114,2020-06-01 06:38:40.3540,2020-06-01 06:57:14.4500,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.03375890000001,42401,Subscriber,1992,1
29,482,2020-06-01 06:38:55.6160,2020-06-01 06:46:57.6210,3211,Newark Ave,40.72152515,-74.046304543,3211,Newark Ave,40.72152515,-74.046304543,42314,Subscriber,1956,1
