,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,2333,2020-07-01 00:23:19.8220,2020-07-01 01:02:13.2980,3694,Jackson Square,40.71113,-74.0789,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42579,Customer,1969,0
1,1203,2020-07-01 00:27:45.2420,2020-07-01 00:47:49.1960,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,3202,Newport PATH,40.7272235,-74.03375890000001,42564,Subscriber,1965,1
2,786,2020-07-01 00:34:17.8680,2020-07-01 00:47:24.6310,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42219,Subscriber,1994,1
3,1488,2020-07-01 00:51:07.5310,2020-07-01 01:15:56.0200,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3194,McGinley Square,40.7253399253558,-74.06762212514876,44424,Subscriber,1995,2
4,2682,2020-07-01 00:51:16.3880,2020-07-01 01:35:58.4590,3191,Union St,40.71821129999999,-74.08363940000001,3193,Lincoln Park,40.7246050998869,-74.07840594649316,42186,Subscriber,1993,1
5,750,2020-07-01 01:05:08.8790,2020-07-01 01:17:39.2000,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42446,Customer,1969,0
6,529,2020-07-01 01:13:12.2900,2020-07-01 01:22:02.2810,3206,Hilltop,40.7311689,-74.0575736,3187,Warren St,40.721123600000006,-74.03805095,44415,Customer,1969,0
7,824,2020-07-01 01:29:46.1440,2020-07-01 01:43:30.2360,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3195,Sip Ave,40.73089709786179,-74.06391263008119,44225,Subscriber,1986,1
8,686,2020-07-01 01:39:17.2430,2020-07-01 01:50:43.3910,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,20748,Customer,1969,0
9,569,2020-07-01 01:41:39.7920,2020-07-01 01:51:09.7270,3639,Harborside,40.71925170000001,-74.034234,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42258,Subscriber,1992,2
10,535,2020-07-01 01:42:09.6900,2020-07-01 01:51:05.1650,3639,Harborside,40.71925170000001,-74.034234,3186,Grove St PATH,40.71958611647166,-74.0431174635887,44403,Subscriber,1996,1
11,1963,2020-07-01 02:03:47.1320,2020-07-01 02:36:30.2480,3206,Hilltop,40.7311689,-74.0575736,3191,Union St,40.71821129999999,-74.08363940000001,42363,Customer,1969,0
12,2225,2020-07-01 02:12:32.6040,2020-07-01 02:49:38.2900,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,42336,Customer,1969,0
13,2206,2020-07-01 02:12:40.2240,2020-07-01 02:49:27.0150,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,42329,Customer,1969,0
14,2165,2020-07-01 02:13:12.9640,2020-07-01 02:49:18.3370,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,44420,Customer,1969,0
15,2057,2020-07-01 02:15:08.2240,2020-07-01 02:49:25.5030,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,42431,Customer,1969,0
16,389,2020-07-01 02:45:06.3740,2020-07-01 02:51:35.6270,3195,Sip Ave,40.73089709786179,-74.06391263008119,3679,Bergen Ave,40.72210378668603,-74.07145500183104,44225,Subscriber,1999,1
17,1883,2020-07-01 02:45:07.9530,2020-07-01 03:16:31.0690,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,42174,Subscriber,1991,1
18,316,2020-07-01 02:46:45.1470,2020-07-01 02:52:01.8120,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3279,Dixon Mills,40.72163014263835,-74.04996782541275,44403,Subscriber,1996,1
19,315,2020-07-01 02:46:55.5350,2020-07-01 02:52:10.5690,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3279,Dixon Mills,40.72163014263835,-74.04996782541275,42258,Subscriber,1992,2
20,228,2020-07-01 02:59:21.3330,2020-07-01 03:03:10.0160,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42601,Subscriber,1995,2
21,1075,2020-07-01 03:06:53.0760,2020-07-01 03:24:48.1160,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3483,Montgomery St,40.71942,-74.05099,44403,Subscriber,1996,1
22,1059,2020-07-01 03:07:13.3390,2020-07-01 03:24:53.1870,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3483,Montgomery St,40.71942,-74.05099,42258,Subscriber,1992,2
23,1376,2020-07-01 03:51:41.6590,2020-07-01 04:14:38.3860,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42162,Customer,1969,0
24,17534,2020-07-01 03:51:53.2570,2020-07-01 08:44:07.4760,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42126,Customer,1969,0
25,313,2020-07-01 04:04:56.0440,2020-07-01 04:10:09.6040,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3280,Astor Place,40.71928220070703,-74.07126188278198,42197,Subscriber,1959,1
26,271,2020-07-01 04:18:22.0890,2020-07-01 04:22:53.6540,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73089709786179,-74.06391263008119,42396,Subscriber,1963,2
27,281,2020-07-01 04:42:16.1070,2020-07-01 04:46:57.8220,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42258,Subscriber,1989,1
28,2100,2020-07-01 05:12:24.9100,2020-07-01 05:47:25.1470,3203,Hamilton Park,40.727595965999996,-74.044247311,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42499,Subscriber,1966,1
29,812,2020-07-01 05:15:46.0690,2020-07-01 05:29:18.1710,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3198,Heights Elevator,40.748715945380226,-74.04044330120088,39066,Customer,1988,2
30,312,2020-07-01 05:27:32.1370,2020-07-01 05:32:45.1050,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3195,Sip Ave,40.73089709786179,-74.06391263008119,42237,Subscriber,1967,1
31,4611,2020-07-01 05:47:54.8220,2020-07-01 07:04:46.6130,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42499,Subscriber,1966,1
32,339,2020-07-01 05:48:19.3170,2020-07-01 05:53:58.5770,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,44348,Subscriber,1978,2
33,2716,2020-07-01 06:03:16.0120,2020-07-01 06:48:32.2140,3267,Morris Canal,40.7124188237569,-74.03852552175522,3638,Washington St,40.7242941,-74.0354826,42331,Subscriber,1959,1
34,311,2020-07-01 06:04:50.1040,2020-07-01 06:10:01.3810,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3195,Sip Ave,40.73089709786179,-74.06391263008119,44389,Subscriber,1991,2
35,366,2020-07-01 06:13:55.6190,2020-07-01 06:20:02.1690,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42219,Subscriber,1991,1
36,359,2020-07-01 06:18:57.6330,2020-07-01 06:24:57.4200,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,44426,Subscriber,1991,2
37,452,2020-07-01 06:20:33.7600,2020-07-01 06:28:05.9970,3203,Hamilton Park,40.727595965999996,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,42493,Subscriber,1969,1
38,233,2020-07-01 06:21:36.3670,2020-07-01 06:25:29.4770,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3184,Paulus Hook,40.7141454,-74.0335519,21500,Customer,1989,1
39,1173,2020-07-01 06:26:31.6470,2020-07-01 06:46:05.4980,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42417,Subscriber,1980,1
40,328,2020-07-01 06:28:30.7640,2020-07-01 06:33:58.8540,3187,Warren St,40.721123600000006,-74.03805095,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42494,Subscriber,1990,1
41,3619,2020-07-01 06:30:25.0060,2020-07-01 07:30:44.2480,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42334,Subscriber,1974,2
42,3581,2020-07-01 06:30:40.3530,2020-07-01 07:30:21.7560,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42438,Subscriber,1980,1
43,771,2020-07-01 06:30:59.6890,2020-07-01 06:43:51.3010,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42293,Subscriber,1970,1
44,174,2020-07-01 06:31:08.4340,2020-07-01 06:34:02.5780,3196,Riverview Park,40.7443187,-74.04399090000001,3198,Heights Elevator,40.748715945380226,-74.04044330120088,42634,Subscriber,1992,1
45,400,2020-07-01 06:31:34.6970,2020-07-01 06:38:15.3650,3195,Sip Ave,40.73089709786179,-74.06391263008119,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42396,Subscriber,1964,1
46,943,2020-07-01 06:34:03.6410,2020-07-01 06:49:46.8450,3213,Van Vorst Park,40.71848892,-74.047726625,3679,Bergen Ave,40.72210378668603,-74.07145500183104,42195,Customer,1980,1
47,3036,2020-07-01 06:37:25.9180,2020-07-01 07:28:02.7720,3203,Hamilton Park,40.727595965999996,-74.044247311,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42348,Customer,1968,2
48,237,2020-07-01 06:39:21.1590,2020-07-01 06:43:18.3970,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42125,Subscriber,1967,1
49,3549,2020-07-01 06:44:55.0180,2020-07-01 07:44:04.7710,3203,Hamilton Park,40.727595965999996,-74.044247311,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,41498,Customer,1984,1
50,462,2020-07-01 06:44:59.7220,2020-07-01 06:52:41.7880,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3205,JC Medical Center,40.71653978099194,-74.0496379137039,44426,Subscriber,1967,2
51,245,2020-07-01 06:45:11.1890,2020-07-01 06:49:16.8020,3211,Newark Ave,40.72152515,-74.046304543,3205,JC Medical Center,40.71653978099194,-74.0496379137039,44223,Subscriber,1956,1
52,354,2020-07-01 06:47:29.3720,2020-07-01 06:53:24.1590,3213,Van Vorst Park,40.71848892,-74.047726625,3639,Harborside,40.71925170000001,-74.034234,42180,Subscriber,1984,1
53,1998,2020-07-01 06:49:05.7140,2020-07-01 07:22:24.5740,3638,Washington St,40.7242941,-74.0354826,3267,Morris Canal,40.7124188237569,-74.03852552175522,42331,Subscriber,1959,1
54,312,2020-07-01 06:49:55.7650,2020-07-01 06:55:07.8470,3207,Oakland Ave,40.7376037,-74.05247829999999,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,42436,Subscriber,1982,1
55,637,2020-07-01 06:50:54.6420,2020-07-01 07:01:31.6570,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42212,Subscriber,1980,1
56,918,2020-07-01 06:51:00.1940,2020-07-01 07:06:18.5860,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42242,Subscriber,1977,1
57,1453,2020-07-01 06:53:43.3670,2020-07-01 07:17:56.4540,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42468,Subscriber,1983,2
58,1292,2020-07-01 06:53:51.4610,2020-07-01 07:15:24.4350,3191,Union St,40.71821129999999,-74.08363940000001,3213,Van Vorst Park,40.71848892,-74.047726625,42457,Customer,2000,1
59,1001,2020-07-01 06:56:09.7850,2020-07-01 07:12:50.8980,3210,Pershing Field,40.742677141,-74.051788633,3481,York St,40.71649,-74.04105,42973,Customer,1977,2
60,231,2020-07-01 06:58:16.2720,2020-07-01 07:02:07.3880,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42420,Subscriber,1989,1
61,294,2020-07-01 06:58:50.4870,2020-07-01 07:03:44.7280,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73089709786179,-74.06391263008119,42244,Subscriber,1958,1
62,433,2020-07-01 06:59:46.7240,2020-07-01 07:07:00.2480,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3184,Paulus Hook,40.7141454,-74.0335519,42489,Subscriber,1984,2
63,500,2020-07-01 07:00:52.5850,2020-07-01 07:09:12.8640,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42435,Subscriber,1988,1
64,341,2020-07-01 07:01:51.2900,2020-07-01 07:07:32.6470,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42143,Subscriber,1987,2
65,426,2020-07-01 07:03:41.1640,2020-07-01 07:10:48.0390,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3213,Van Vorst Park,40.71848892,-74.047726625,42226,Customer,1991,2
66,540,2020-07-01 07:05:40.8930,2020-07-01 07:14:41.3520,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3203,Hamilton Park,40.727595965999996,-74.044247311,42499,Subscriber,1966,1
67,2448,2020-07-01 07:06:04.2660,2020-07-01 07:46:52.8170,3481,York St,40.71649,-74.04105,3481,York St,40.71649,-74.04105,42470,Customer,1995,2
68,2449,2020-07-01 07:06:04.3290,2020-07-01 07:46:53.7740,3481,York St,40.71649,-74.04105,3481,York St,40.71649,-74.04105,42133,Customer,1995,1
69,368,2020-07-01 07:10:00.4410,2020-07-01 07:16:08.4830,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42486,Subscriber,1979,1
